"feature","metadata","value","coef","stderr","pval","qval","base.model","tweedie.index","N","N.not.zero","percent.zero","Antibiotic"
"yjiY","ResistanceType","No",-1.15564097106487,0.0179420483200953,3.48056734613702e-07,0.000331350011352244,"CPLM",1.418,6,6,0,"CPZ"
"hsdR","ResistanceType","No",-1.12876410618179,0.0215923461282101,8.01454919547624e-07,0.000381492541704669,"CPLM",1.99,6,6,0,"CPZ"
"yagG","ResistanceType","No",1.04278056420101,0.0274804413875042,2.88048947161891e-06,0.0009140753256604,"CPLM",1.01,6,6,0,"CPZ"
"ydbD","ResistanceType","No",0.89572091216478,0.0284549726025514,6.06983420839569e-06,0.00144462054159818,"CPLM",1.01,6,6,0,"CPZ"
"yagF","ResistanceType","No",1.32233720524065,0.0461834583110603,8.85532964286857e-06,0.00168605476400218,"CPLM",1.01,6,6,0,"CPZ"
"ivy","ResistanceType","No",-0.0892827797185475,0.00547231065849344,8.25969896352877e-05,0.0131053890221323,"CPLM",1.99,6,6,0,"CPZ"
"putA","ResistanceType","No",0.148656657779995,0.0102253255035877,0.00013018063708561,0.017704566643643,"CPLM",1.99,6,6,0,"CPZ"
"nagE","ResistanceType","No",0.14027615857392,0.0105679165986186,0.000186173100364108,0.0221545989433289,"CPLM",1.01,6,6,0,"CPZ"
"tsx","ResistanceType","No",0.155122987918079,0.0122231926845352,0.000222033779752797,0.0234862398138514,"CPLM",1.01,6,6,0,"CPZ"
"ryeE","ResistanceType","No",0.218535029498778,0.017815568306433,0.000253667396661462,0.0241491361621712,"CPLM",1.01,6,6,0,"CPZ"
"gcvP","ResistanceType","No",0.12764379357696,0.0115540114936274,0.000381703311954024,0.0330346866345664,"CPLM",1.01,6,6,0,"CPZ"
"yceB","ResistanceType","No",-0.0852527860795076,0.00840844519981385,0.000532754369303244,0.042265179964724,"CPLM",1.99,6,6,0,"CPZ"
"argF","ResistanceType","No",0.226162499493025,0.0234802331868572,0.000649678136926897,0.0475764297195697,"CPLM",1.01,6,6,0,"CPZ"
"dtd","ResistanceType","No",-0.0654568211878096,0.00708997789485843,0.000765039874638006,0.0520227114753844,"CPLM",1.99,6,6,0,"CPZ"
"cstA","ResistanceType","No",0.241045459523927,0.0267147611825362,0.00083562022532811,0.0530340303008241,"CPLM",1.01,6,6,0,"CPZ"
"glnH","ResistanceType","No",0.0993905274159478,0.0125179388137233,0.00136243717354945,0.0810650118261923,"CPLM",1.01,6,6,0,"CPZ"
"dsbA","ResistanceType","No",-0.0814639764809415,0.0105885934832797,0.00153548143666065,0.0859869604529967,"CPLM",1.99,6,6,0,"CPZ"
"csrC","ResistanceType","No",-0.169207245180695,0.0229701546178931,0.00180956241711637,0.0926651822997181,"CPLM",1.99,6,6,0,"CPZ"
"gntT","ResistanceType","No",0.156292654444522,0.0213399422006637,0.00184941015093975,0.0926651822997181,"CPLM",1.01,6,6,0,"CPZ"
"ypfG","ResistanceType","No",-0.182088053117293,0.0271824226491792,0.00258381515809297,0.122989601525226,"CPLM",1.99,6,6,0,"CPZ"
"yiaB","ResistanceType","No",0.465145930578265,0.0715493619859893,0.0028882765963229,0.130935205699971,"CPLM",1.01,6,6,0,"CPZ"
"rprA","ResistanceType","No",-0.181440551186287,0.0291290353232422,0.0033833738816237,0.146407815241171,"CPLM",1.99,6,6,0,"CPZ"
"argD","ResistanceType","No",0.165022720820478,0.033303846076389,0.0077332394420934,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"asnS","ResistanceType","No",0.107616535276213,0.021586853050275,0.00756892947089072,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"glpQ","ResistanceType","No",0.16126134669323,0.0307538403987535,0.0063246474632873,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"maa","ResistanceType","No",0.116566335433639,0.0206394766585496,0.00484091914030375,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"malE","ResistanceType","No",0.378872241881336,0.0713688198135489,0.0060517034375748,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"malM","ResistanceType","No",0.292175785687203,0.0584142288334979,0.00748094824707698,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"micF","ResistanceType","No",-0.437120866591139,0.0855747693967377,0.006943539049269,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"ompF","ResistanceType","No",0.434392906095231,0.0874773528140323,0.00767450468410053,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"pntA","ResistanceType","No",0.140397107199082,0.0261296561336611,0.00579531425339244,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"poxB","ResistanceType","No",-0.203966848894162,0.0379540944311135,0.00579164895838754,0.152148904483762,"CPLM",1.99,6,6,0,"CPZ"
"rluB","ResistanceType","No",0.13214182017559,0.0231955433539182,0.0046911132873437,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"ryhA","ResistanceType","No",0.156863332893746,0.0292799452953288,0.00585665291747672,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"rzoR","ResistanceType","No",0.157139231672795,0.0289656551293968,0.00559833482963625,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"trpD","ResistanceType","No",0.131693585319845,0.0266725454711868,0.0078311936131348,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"trpE","ResistanceType","No",0.122138996791362,0.0246752232099292,0.00776195825564418,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"valV","ResistanceType","No",0.124200280609124,0.0209519029628512,0.00405832095131339,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
"valW","ResistanceType","No",0.150620911772713,0.0292372473401768,0.00673663270751901,0.152148904483762,"CPLM",1.01,6,6,0,"CPZ"
