feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.15457049043756	0.0165355974073095	2.52089850099844e-07	0.000125282137439177	CPLM	1.99	6	6	0
yagG	ResistanceType	No	1.03225458208334	0.0178881958250746	5.400092130999e-07	0.000125282137439177	CPLM	1.01	6	6	0
yjiY	ResistanceType	No	-1.16807875050888	0.0187806439422288	4.00273263136967e-07	0.000125282137439177	CPLM	1.734	6	6	0
yagF	ResistanceType	No	1.24198078674404	0.0392016435221038	5.91602262531868e-06	0.00102938793680545	CPLM	1.01	6	6	0
ygjG	ResistanceType	No	-0.163639207139912	0.00634651439791818	1.34400338266038e-05	0.00187085270866326	CPLM	1.99	6	6	0
rtT	ResistanceType	No	0.175135563080544	0.00880571919855516	3.7707615017816e-05	0.00406051527754076	CPLM	1.01	6	6	0
yohC	ResistanceType	No	-0.294097586283262	0.0150874741819511	4.08385157223927e-05	0.00406051527754076	CPLM	1.99	6	6	0
intB	ResistanceType	No	-0.756047163818696	0.048179208152267	9.63224212071182e-05	0.00699373444912634	CPLM	1.99	6	6	0
ydbD	ResistanceType	No	0.852439909990884	0.0565274227689489	0.000112695702208399	0.00699373444912634	CPLM	1.01	6	6	0
yedP	ResistanceType	No	-0.179565795210988	0.0112639108579745	9.05119721762098e-05	0.00699373444912634	CPLM	1.01	6	6	0
yodC	ResistanceType	No	-0.0758696388607379	0.00503004767794517	0.000112602313826287	0.00699373444912634	CPLM	1.99	6	6	0
yohF	ResistanceType	No	-0.182027308901161	0.0122796127337353	0.000120581628433213	0.00699373444912634	CPLM	1.99	6	6	0
ryeE	ResistanceType	No	0.168102423116723	0.0125932620761768	0.000182109150419254	0.00974984374552314	CPLM	1.01	6	6	0
gntT	ResistanceType	No	0.182117553430525	0.0143671612148531	0.000223059310669481	0.0110892343018542	CPLM	1.01	6	6	0
chaC	ResistanceType	No	-0.131978633263924	0.0120763789625172	0.000398128156124061	0.0184731464441564	CPLM	1.99	6	6	0
phnB	ResistanceType	No	-0.27138238297801	0.0253698996415294	0.000432724314447198	0.0188235076784531	CPLM	1.99	6	6	0
rpoS	ResistanceType	No	-0.118465871839751	0.0113744826409688	0.000480036300459795	0.0196532508894128	CPLM	1.99	6	6	0
